Flight_ID,Airline,Distance_km,Departure_Delay_min,Arrival_Delay_min,Delay_Status
1,Indigo,7609,4,155,Delayed
2,Emirates,11735,148,65,Delayed
3,Delta,3555,176,72,Delayed
4,Indigo,7539,25,154,OnTime
5,Emirates,11483,150,76,OnTime
6,Emirates,5961,81,153,Delayed
7,Emirates,8019,65,67,Delayed
8,Indigo,9427,10,99,OnTime
9,Delta,2031,5,97,OnTime
10,Delta,3778,92,144,OnTime
11,Delta,1317,99,152,OnTime
12,Emirates,7635,144,46,OnTime
13,Delta,6438,90,195,OnTime
14,Indigo,6910,139,49,OnTime
15,Delta,11184,171,56,OnTime
16,Lufthansa,8702,108,81,Delayed
17,Indigo,7982,95,168,Delayed
18,Emirates,6978,8,103,Delayed
19,Emirates,1608,121,93,Delayed
20,Delta,2844,17,114,OnTime
21,Emirates,8299,6,191,OnTime
22,Emirates,5690,127,78,Delayed
23,Lufthansa,4450,129,82,Delayed
24,Lufthansa,4202,143,50,OnTime
25,Delta,3917,42,67,Delayed
26,Emirates,1347,7,198,Delayed
27,Indigo,7859,118,153,Delayed
28,Emirates,729,175,156,OnTime
29,Delta,6913,97,28,OnTime
30,Delta,2789,103,5,Delayed
31,Indigo,5498,39,103,Delayed
32,Lufthansa,9252,133,38,OnTime
33,Indigo,9502,168,129,Delayed
34,Delta,10952,143,100,Delayed
35,Delta,1285,144,104,Delayed
36,Delta,2156,89,11,OnTime
37,Delta,851,61,155,Delayed
38,Delta,2354,149,6,Delayed
39,Emirates,11108,157,148,OnTime
40,Emirates,11828,19,116,OnTime
41,Delta,4727,23,113,Delayed
42,Indigo,10594,115,81,OnTime
43,Emirates,11103,95,69,Delayed
44,Delta,11979,157,161,OnTime
45,Emirates,9432,19,95,Delayed
46,Emirates,9168,168,58,Delayed
47,Lufthansa,8391,124,162,Delayed
48,Indigo,3654,136,158,OnTime
49,Emirates,8161,53,65,Delayed
50,Lufthansa,1483,87,169,Delayed
51,Indigo,1567,40,83,Delayed
52,Indigo,8303,60,197,OnTime
53,Indigo,3325,162,39,Delayed
54,Emirates,7106,8,149,OnTime
55,Indigo,1065,101,151,OnTime
56,Emirates,11910,156,192,Delayed
57,Delta,6116,60,184,OnTime
58,Delta,5303,53,100,OnTime
59,Delta,7450,145,103,Delayed
60,Lufthansa,10263,61,61,OnTime
61,Emirates,7003,35,78,Delayed
62,Lufthansa,5825,12,167,OnTime
63,Indigo,11793,28,90,OnTime
64,Delta,6710,16,109,OnTime
65,Emirates,9396,46,118,OnTime
66,Indigo,7039,33,135,Delayed
67,Emirates,2029,53,144,Delayed
68,Emirates,651,87,63,Delayed
69,Indigo,2342,14,54,OnTime
70,Delta,3719,45,56,OnTime
71,Lufthansa,6543,136,158,OnTime
